FRAME_STOCK,SPEED (IPS),TIME/STRIP,PACKAGE_CODE,Package size ,Package group,Lead frame,Unit/strip,Strip/lot,Process
FR0175,5.0,156.3,TQ-500E500B032A,5X5,QFN,CU,440.0,40.0,
FR0175,5.0,156.3,TQ-500E500B032K,5X5,QFN,CU,440.0,40.0,
FR0445,5.0,138.33,NQ-600E600A048A,6X6,QFN,CU,315.0,40.0,
FR0445,5.0,138.33,NQ-600M600A048A,6X6,QFN,CU,315.0,40.0,
FR0445,5.0,138.33,NQC600E600A048A,6X6,QFN,CU,315.0,40.0,
FR0445,5.0,138.33,NQC600S600A048A,6X6,QFN,CU,315.0,40.0,
FR0445,5.0,138.33,NQC600S600A048K,6X6,QFN,CU,315.0,40.0,
FR0445,5.0,138.33,TQ-600E600A048A,6X6,QFN,CU,315.0,40.0,
FR0445,5.0,138.33,TQ-600S600A048A,6X6,QFN,CU,315.0,40.0,
FR0773,3.0,169.16,ND-400E3001012A,3X4,SLP,Cu,910.0,40.0,
FR0773,3.0,169.16,ND-400E300B012A,3X4,QFN,Cu,910.0,40.0,
FR0773,3.0,169.16,NDC400E3001012A,3X4,SLP,Cu,910.0,40.0,
FR0773,3.0,169.16,NDC400E3001012K,3X4,SLP,Cu,910.0,40.0,
FR0773,3.0,169.16,NDC400E300B012A,3X4,QFN,Cu,910.0,40.0,
FR0773,3.0,169.16,NDC400E300B012K,3X4,QFN,Cu,910.0,40.0,
FR0785,3.0,254.11,MQ-400E4001024A,4X4,SLP,Cu,700.0,40.0,
FR0785,3.0,254.11,MQ-400E4001024K,4X4,SLP,Cu,700.0,40.0,
FR0785,3.0,254.11,NQ-400E4001024A,4X4,SLP,Cu,700.0,40.0,
FR0785,3.0,254.11,NQ-400E4001024K,4X4,SLP,Cu,700.0,40.0,
FR0785,3.0,254.11,NQ-400E400B024A,4X4,QFN,Cu,700.0,40.0,
FR0785,3.0,254.11,NQ-400E400X024A,4X4,SFS,,700.0,40.0,
FR0785,3.0,254.11,NQ-400E400X024K,4X4,SFS,,700.0,40.0,
FR0785,3.0,254.11,NQC400E4001024A,4X4,SLP,Cu,700.0,40.0,
FR0942,3.0,209.46,NQ-400E4001020A,4X4,SLP,Cu,700.0,40.0,
FR0942,3.0,209.46,NQ-400E400B020A,4X4,QFN,Cu,700.0,40.0,
