FRAME_STOCK,SPEED (IPS),TIME/STRIP,PACKAGE_CODE,Package size ,Package group,Lead frame,Unit/strip,Strip/lot,Process,Data_Before_Filter,Data_After_Filter
F30027,3.0,195.23,MH-45F140033EAN,4X4.5,GQFN,,560.0,30.0,,0,0
F30027,3.0,195.23,MHC45F140033EAN,4X4.5,GQFN,,560.0,30.0,,0,0
F30027,3.0,195.23,MHY45M240033EAJ,4X4.5,GQFN,,560.0,40.0,,0,0
F30027,3.0,195.23,MHY45M240033EAN,4X4.5,GQFN,,560.0,30.0,,0,0
F30027,3.0,195.23,MHZ45M240033EAN,4X4.5,GQFN,,560.0,30.0,,0,0
FA0028,9.0,119.58,EHC90E190100BAN,9X9,GQFN,,120.0,30.0,,0,0
FA0028,9.0,119.58,MH-90E190100DAN,9X9,GQFN,,120.0,30.0,,0,0
FA0028,9.0,119.58,MHC90E190100DAJ,9X9,GQFN,,120.0,40.0,,0,0
FA0028,9.0,119.58,MHC90E190100DAN,9X9,GQFN,,120.0,40.0,,0,0
FA0043,9.0,437.26,XH-20E124018AAJ,2.4X2,GQFN,,1760.0,30.0,,0,0
FA0043,9.0,437.26,XH-20E124018AAN,2.4X2,GQFN,,1760.0,12.0,,0,0
FA0079,3.0,172.45,TH-50E160048CAN,6X5,GQFN,,360.0,40.0,,0,0
FA0079,3.0,172.45,TH-50M260048CAJ,6X5,GQFN,,315.0,40.0,,0,0
FA0079,3.0,172.45,TH-50M260048CAN,6X5,GQFN,,315.0,40.0,,0,0
FA0079,3.0,172.45,TH-50M260048CBH,6X5,GQFN,,315.0,40.0,,0,0
FA0079,3.0,172.45,TH-50M260048CBS,6X5,GQFN,,315.0,20.0,,0,0
FA0082,5.0,531.39,EH-16E124016BAJ,2.4X1.6,GQFN,,2250.0,12.0,,0,0
FA0082,5.0,531.39,EH-16E124016BAN,2.4X1.6,GQFN,,2250.0,12.0,,0,0
FA0095,3.0,209.53,MH-50E150032BAN,5X5,GQFN,,440.0,30.0,,0,0
FA0095,3.0,209.53,MHC50E150032DAJ,5X5,GQFN,,440.0,40.0,,0,0
FA0095,3.0,209.53,MHC50E150032DAN,5X5,GQFN,,440.0,40.0,,0,0
FA0133,3.0,165.8,NH-50E150024SAJ,5X5,GQFN,,440.0,60.0,,0,0
FA0133,3.0,165.8,NH-50E150024SAN,5X5,GQFN,,440.0,60.0,,0,0
FA0133,3.0,165.8,NHC50E150024SAN,5X5,GQFN,,440.0,40.0,,0,0
FA0134,3.0,235.6,EH-3ME03L008BAN,3.28X3.23,GQFN,,880.0,15.0,,0,0
FA0134,3.0,235.6,EH-3ME13L008BAN,3.28X3.23,GQFN,,880.0,15.0,,0,0
FA0134,3.0,235.6,EH-3MS23L008BAJ,3.28X3.28,GQFN,,880.0,20.0,,0,0
FA0134,3.0,235.6,EH-3MS23L008BAN,3.28X3.23,GQFN,,880.0,40.0,,0,0
FA0134,3.0,235.6,EH-3MS33L008BAJ,3.28X3.28,GQFN,,880.0,20.0,,0,0
FA0134,3.0,235.6,EH-3MS33L008BAN,3.28X3.23,GQFN,,880.0,40.0,,0,0
FA0134,3.0,235.6,TH-3MS33L008BAN,3.28X3.23,GQFN,,880.0,15.0,,0,0
FA0147,3.0,240.55,EH-26E124008BAJ,2.4X2.6,GQFN,,1500.0,40.0,,0,0
FA0147,3.0,240.55,EH-26E124008BAN,2.4X2.6,GQFN,,1500.0,30.0,,0,0
FA0157,3.0,138.72,MH-70E170056DAJ,7X7,GQFN,,200.0,40.0,,0,0
FA0157,3.0,138.72,MH-70E170056DAN,7X7,GQFN,,200.0,40.0,,0,0
FA0157,3.0,138.72,MHC70E170056DAN,7X7,GQFN,,200.0,30.0,,0,0
FA0160,5.0,196.13,EH-22F130024BAJ,2.2X3,GQFN,,1350.0,40.0,,0,0
FA0160,5.0,196.13,TH-22F130024CAJ,2.2X3,GQFN,,1350.0,40.0,,0,0
FA0160,5.0,196.13,TH-22F130024CAN,2.2X3,GQFN,,1350.0,40.0,,0,0
FA0171,5.0,143.91,MH-60E160080DAN,6X6,GQFN,,270.0,30.0,,0,0
FA0171,5.0,143.91,MHC60E160080DAJ,6X6,GQFN,,270.0,40.0,,0,0
FA0171,5.0,143.91,MHC60E160080DAN,6X6,GQFN,,270.0,40.0,,0,0
FA0180,3.0,135.09,HH-90E190064TAN,9X9,GQFN,,120.0,30.0,,0,0
FA0180,3.0,135.09,HH-90S290064TAJ,9X9,GQFN,,120.0,40.0,,0,0
FA0180,3.0,135.09,HH-90S290064TAN,9X9,GQFN,,120.0,40.0,,0,0
FA0180,3.0,135.09,HH-90S290064TIN,9X9,GQFN,,120.0,30.0,,0,0
FA0180,3.0,135.09,MH-90S290064BIN,9X9,GQFN,,120.0,30.0,,0,0
FA0184,3.0,136.29,HH-80E180068TAN,8X8,GQFN,,175.0,20.0,,0,0
FA0184,3.0,136.29,HH-80S280068TAJ,8X8,GQFN,,175.0,40.0,,0,0
FA0184,3.0,136.29,HH-80S280068TAN,8X8,GQFN,,175.0,40.0,,0,0
FA0184,3.0,136.29,MH-80S280068DAN,8X8,GQFN,,175.0,20.0,,0,0
FA0224,3.0,225.02,MH-40E140015DAJ,4X4,GQFN,,700.0,30.0,,0,0
FJE013,3.0,177.44,NBCM0C1M05389HR,21X21,BGA,,40.0,14.0,,0,0
FJE013,3.0,177.44,NGCM0C1M05389HR,21X21,LGA,,40.0,8.0,,0,0
FJE017,3.0,222.5,GB-70C1700997ER,7X7,BGA,,318.0,10.0,,0,0
FJT015,1.0,263.62,GG-90C1764036AR,9X7.64,LGA,,112.0,10.0,,0,0
FR0011,5.0,165.72,NQ-600E600B040A,6X6,QFN,CU,315.0,40.0,,6,6
FR0011,5.0,165.72,TQ-600E600B040A,6X6,QFN,CU,315.0,40.0,,6,6
FR0011,5.0,165.72,TQ-600E600B040K,6X6,QFN,CU,315.0,40.0,,6,6
FR0011,5.0,165.72,TQ-600M600B040A,6X6,QFN,CU,315.0,40.0,,6,6
FR0011,5.0,165.72,TQC600E600B040K,6X6,QFN,CU,315.0,40.0,,6,6
FR0022,5.0,218.51,NQ-300E3001016A,3X3,SLP,Cu,1170.0,30.0,Full Cut,13,12
FR0022,5.0,234.04,NQ-300E300B016A,3X3,QFN,CU,1170.0,30.0,,9,8
FR0022,5.0,234.04,NQ-300E300B016K,3X3,QFN,CU,1170.0,30.0,,9,8
FR0022,5.0,218.51,NQC300E3001016A,3X3,SLP,Cu,1170.0,30.0,Full Cut,13,12
FR0022,5.0,234.04,NQC300E300B016A,3X3,QFN,CU,1170.0,30.0,,9,8
FR0022,5.0,234.04,NQC300E300B016K,3X3,QFN,CU,1170.0,30.0,,9,8
FR0022,5.0,234.04,TQ-300E300B016A,3X3,QFN,CU,1170.0,30.0,,9,8
FR0022,5.0,234.04,TQC300E300B016A,3X3,QFN,CU,1170.0,30.0,,9,8
FR0023,3.0,456.52,ND-300E3001010A,3X3,SLP,Cu,1170.0,30.0,Step Cut,2,2
FR0023,3.0,456.52,ND-300E3001010K,3X3,SLP,Cu,1170.0,30.0,Step Cut,2,2
FR0023,3.0,610.2,ND-300E300B010A,3X3,QFN,Cu,1170.0,30.0,,2,2
FR0023,3.0,610.2,ND-300E300B010K,3X3,QFN,Cu,1170.0,30.0,,2,2
FR0023,3.0,683.6,ND-300E300X010A,3X3,SFS,,1170.0,30.0,,0,0
FR0023,3.0,683.6,ND-300E300X010K,3X3,SFS,,1170.0,30.0,,0,0
FR0023,3.0,610.2,ND-300S300B010A,3X3,QFN,Cu,1170.0,30.0,,2,2
FR0023,3.0,456.52,NDC300E3001010K,3X3,SLP,Cu,1170.0,30.0,Step Cut,2,2
FR0023,3.0,683.6,NDC300E300X010K,3X3,SFS,,1170.0,30.0,,0,0
FR0023,3.0,683.6,NDC300E300X010U,3X3,SFS,,1170.0,30.0,,0,0
FR0023,3.0,610.2,TD-300E300B010A,3X3,QFN,Cu,1170.0,30.0,,2,2
FR0040,5.0,234.04,ND-300E300B010A,3X3,QFN,CU,1170.0,30.0,,9,8
FR0040,5.0,234.04,ND-300E300B010K,3X3,QFN,CU,1170.0,30.0,,9,8
FR0040,5.0,234.04,TDC300E300B010A,3X3,QFN,CU,1170.0,30.0,,9,8
FR0043,5.0,176.63,NQ-400E400A028A,4X4,QFN,CU,700.0,40.0,,12,11
FR0043,5.0,176.63,TQ-400E400A028A,4X4,QFN,CU,700.0,40.0,,12,11
FR0043,5.0,176.63,TQ-400E400A028E,4X4,QFN,CU,700.0,40.0,,12,11
FR0043,5.0,176.63,TQ-400E400A028K,4X4,QFN,CU,700.0,40.0,,12,11
FR0043,5.0,176.63,TQC400E400A028A,4X4,QFN,CU,700.0,40.0,,12,11
FR0043,5.0,176.63,TQC400E400A028E,4X4,QFN,CU,700.0,40.0,,12,11
FR0044,5.0,192.82,NQ-500E5001032A,5X5,SLP,Cu,440.0,40.0,Full Cut,8,8
FR0044,5.0,223.44,NQ-500E500B032A,5X5,QFN,CU,440.0,40.0,,13,13
FR0044,5.0,223.44,NQ-500E500B032K,5X5,QFN,CU,440.0,40.0,,13,13
FR0044,5.0,182.64,NQ-500E500X032A,5X5,SFS,,440.0,40.0,,0,0
FR0044,5.0,182.64,NQ-500E500X032K,5X5,SFS,,440.0,40.0,,0,0
FR0044,5.0,223.44,NQ-500M500B032A,5X5,QFN,CU,440.0,40.0,,13,13
FR0044,5.0,223.44,NQC500E500B032A,5X5,QFN,CU,440.0,40.0,,13,13
FR0044,5.0,223.44,NQC500E500B032K,5X5,QFN,CU,440.0,40.0,,13,13
FR0044,5.0,223.44,TQ-500E500B032A,5X5,QFN,CU,440.0,40.0,,13,13
FR0044,5.0,223.44,TQ-500E500B032E,5X5,QFN,CU,440.0,40.0,,13,13
FR0044,5.0,223.44,TQ-500M500B032A,5X5,QFN,CU,440.0,40.0,,13,13
FR0044,5.0,223.44,TQ-500S500B032A,5X5,QFN,CU,440.0,40.0,,13,13
FR0044,5.0,223.44,TQC500E500B032A,5X5,QFN,CU,440.0,40.0,,13,13
FR0044,5.0,223.44,TQC500E500B032E,5X5,QFN,CU,440.0,40.0,,13,13
FR0044,5.0,223.44,TQC500E500B032K,5X5,QFN,CU,440.0,40.0,,13,13
FR0046,5.0,176.63,NQ-400E400A028A,4X4,QFN,CU,700.0,40.0,,12,11
FR0046,5.0,176.63,TQ-400E400A028A,4X4,QFN,CU,700.0,40.0,,12,11
FR0046,5.0,176.63,TQ-400E400A028K,4X4,QFN,CU,700.0,40.0,,12,11
FR0049,5.0,209.28,NQ-400E4001024A,4X4,SLP,Cu,700.0,40.0,Full Cut,9,9
FR0049,5.0,176.63,NQ-400E400B024A,4X4,QFN,CU,700.0,40.0,,12,11
FR0049,5.0,176.63,NQ-400E400B024K,4X4,QFN,CU,700.0,40.0,,12,11
FR0049,5.0,176.63,NQ-400S400B024A,4X4,QFN,CU,700.0,40.0,,12,11
FR0049,5.0,176.63,NQC400E400B024A,4X4,QFN,CU,700.0,40.0,,12,11
FR0049,5.0,176.63,TQ-400E400B024A,4X4,QFN,CU,700.0,40.0,,12,11
FR0049,5.0,176.63,TQ-400E400B024E,4X4,QFN,CU,700.0,40.0,,12,11
FR0049,5.0,176.63,TQ-400M400B024A,4X4,QFN,CU,700.0,40.0,,12,11
FR0049,5.0,176.63,TQ-400M400B024E,4X4,QFN,CU,700.0,40.0,,12,11
FR0049,5.0,176.63,TQ-400S400B024A,4X4,QFN,CU,700.0,40.0,,12,11
FR0049,5.0,209.28,TQC400E4001024A,4X4,SLP,Cu,700.0,40.0,Full Cut,9,9
FR0049,5.0,176.63,TQC400E400B024A,4X4,QFN,CU,700.0,40.0,,12,11
FR0049,5.0,176.63,TQC400E400B024E,4X4,QFN,CU,700.0,40.0,,12,11
FR0049,5.0,176.63,TQC400E400B024U,4X4,QFN,CU,700.0,30.0,,12,11
FR0057,5.0,234.04,NQ-300E300A020A,3X3,QFN,CU,1170.0,30.0,,9,8
FR0057,5.0,234.04,NQ-300S300A020A,3X3,QFN,CU,1170.0,30.0,,9,8
FR0057,5.0,234.04,NQ-300S300A020K,3X3,QFN,CU,1170.0,30.0,,9,8
FR0057,5.0,234.04,NQC300E300A020A,3X3,QFN,CU,1170.0,30.0,,9,8
FR0057,5.0,234.04,NQC300E300A020K,3X3,QFN,CU,1170.0,30.0,,9,8
FR0057,5.0,234.04,TQ-300E300A020A,3X3,QFN,CU,1170.0,30.0,,9,8
FR0057,5.0,234.04,TQ-300E300A020K,3X3,QFN,CU,1170.0,30.0,,9,8
FR0060,5.0,223.44,NQ-500E500B028A,5X5,QFN,CU,440.0,40.0,,13,13
FR0060,5.0,223.44,NQ-500E500B028K,5X5,QFN,CU,440.0,40.0,,13,13
FR0060,5.0,223.44,NQ-500S500B028A,5X5,QFN,CU,440.0,40.0,,13,13
FR0060,5.0,223.44,NQC500E500B028A,5X5,QFN,CU,440.0,40.0,,13,13
FR0060,5.0,192.82,TQ-500E5001028A,5X5,SLP,Cu,440.0,40.0,Full Cut,8,8
FR0060,5.0,192.82,TQ-500E5001028E,5X5,SLP,Cu,440.0,40.0,Full Cut,8,8
FR0060,5.0,223.44,TQ-500E500B028A,5X5,QFN,CU,440.0,40.0,,13,13
FR0060,5.0,192.82,TQC500E5001028A,5X5,SLP,Cu,440.0,40.0,Full Cut,8,8
FR0060,5.0,223.44,TQC500E500B028A,5X5,QFN,CU,440.0,40.0,,13,13
FR0060,5.0,223.44,TQC500E500B028K,5X5,QFN,CU,440.0,40.0,,13,13
FR0060,5.0,186.51,TQC500E500X028A,5X5,SFS,,440.0,40.0,,0,0
FR0068,5.0,148.69,NQ-700E7001032A,7X7,SLP,Cu,240.0,40.0,Full Cut,9,8
FR0068,5.0,148.69,NQ-700E7001032K,7X7,SLP,Cu,240.0,40.0,Full Cut,9,8
FR0068,5.0,148.25,NQ-700E700C032A,7X7,QFN,CU,240.0,40.0,,6,5
