FRAME_STOCK,SPEED (IPS),TIME/STRIP,PACKAGE_CODE,Package size ,Package group,Lead frame type by frame stock ,Unit/strip,Process,Data_Before_Filter,Data_After_Filter
FR0011,5.0,175.77,NQ-600E600B040A,6X6,QFN,Copper,315.0,,3,3
FR0011,5.0,175.77,TQ-600E600B040A,6X6,QFN,Copper,315.0,,3,3
FR0011,5.0,175.77,TQ-600E600B040K,6X6,QFN,Copper,315.0,,3,3
FR0011,5.0,175.77,TQ-600M600B040A,6X6,QFN,Copper,315.0,,3,3
FR0011,5.0,175.77,TQC600E600B040K,6X6,QFN,Copper,315.0,,3,3
FR0040,5.0,252.17,ND-300E300B010A,3X3,QFN,0,1170.0,,5,4
FR0040,5.0,252.17,ND-300E300B010K,3X3,QFN,0,1170.0,,5,4
FR0040,5.0,252.17,TDC300E300B010A,3X3,QFN,0,1170.0,,5,4
FR0043,5.0,186.4,NQ-400E400A028A,4X4,QFN,Copper,700.0,,6,5
FR0043,5.0,186.4,TQ-400E400A028A,4X4,QFN,Copper,700.0,,6,5
FR0043,5.0,186.4,TQ-400E400A028E,4X4,QFN,Copper,700.0,,6,5
FR0043,5.0,186.4,TQ-400E400A028K,4X4,QFN,Copper,700.0,,6,5
FR0043,5.0,186.4,TQC400E400A028A,4X4,QFN,Copper,700.0,,6,5
FR0043,5.0,186.4,TQC400E400A028E,4X4,QFN,Copper,700.0,,6,5
FR0046,5.0,186.4,NQ-400E400A028A,4X4,QFN,Copper,700.0,,6,5
FR0046,5.0,186.4,TQ-400E400A028A,4X4,QFN,Copper,700.0,,6,5
FR0046,5.0,186.4,TQ-400E400A028K,4X4,QFN,Copper,700.0,,6,5
FR0057,5.0,252.17,NQ-300E300A020A,3X3,QFN,0,1170.0,,5,4
FR0057,5.0,252.17,NQ-300S300A020A,3X3,QFN,0,1170.0,,5,4
FR0057,5.0,252.17,NQ-300S300A020K,3X3,QFN,0,1170.0,,5,4
FR0057,5.0,252.17,NQC300E300A020A,3X3,QFN,0,1170.0,,5,4
FR0057,5.0,252.17,NQC300E300A020K,3X3,QFN,0,1170.0,,5,4
FR0057,5.0,252.17,TQ-300E300A020A,3X3,QFN,0,1170.0,,5,4
FR0057,5.0,252.17,TQ-300E300A020K,3X3,QFN,0,1170.0,,5,4
FR0060,5.0,176.61,NQ-500E500B028A,5X5,QFN,Copper,440.0,,7,7
FR0060,5.0,176.61,NQ-500E500B028K,5X5,QFN,Copper,440.0,,7,7
FR0060,5.0,176.61,NQ-500S500B028A,5X5,QFN,Copper,440.0,,7,7
FR0060,5.0,176.61,NQC500E500B028A,5X5,QFN,Copper,440.0,,7,7
FR0060,5.0,188.33,TQ-500E5001028A,5X5,SLP,,440.0,Full Cut,4,3
FR0060,5.0,188.33,TQ-500E5001028E,5X5,SLP,,440.0,Full Cut,4,3
FR0060,5.0,176.61,TQ-500E500B028A,5X5,QFN,Copper,440.0,,7,7
FR0060,5.0,188.33,TQC500E5001028A,5X5,SLP,,440.0,Full Cut,4,3
FR0060,5.0,176.61,TQC500E500B028A,5X5,QFN,Copper,440.0,,7,7
FR0060,5.0,176.61,TQC500E500B028K,5X5,QFN,Copper,440.0,,7,7
FR0060,5.0,186.51,TQC500E500X028A,5X5,SFS,,440.0,,0,0
FR0124,5.0,194.84,NQ-600E6001040A,6X6,SLP,,315.0,Full Cut,3,3
FR0124,5.0,175.77,NQ-600E600B040A,6X6,QFN,Copper,315.0,,3,3
FR0124,5.0,175.77,NQ-600M600B040A,6X6,QFN,Copper,315.0,,3,3
FR0124,5.0,175.77,NQC600E600B040A,6X6,QFN,Copper,315.0,,3,3
FR0124,5.0,175.77,TQ-600E600B040A,6X6,QFN,Copper,315.0,,3,3
FR0124,5.0,175.77,TQC600E600B040A,6X6,QFN,Copper,315.0,,3,3
FR0153,5.0,154.24,NQ-700E700B048A,7X7,QFN,Copper,240.0,,2,2
FR0153,5.0,154.24,NQ-700S700B048A,7X7,QFN,Copper,240.0,,2,2
FR0153,5.0,154.24,NQC700E700B048A,7X7,QFN,Copper,240.0,,2,2
FR0153,5.0,154.24,NQC700E700B048K,7X7,QFN,Copper,240.0,,2,2
FR0158,5.0,141.47,NQ-900E900B064A,9X9,QFN,0,120.0,,3,3
FR0158,5.0,141.47,NQ-900E900B064E,9X9,QFN,0,120.0,,3,3
FR0158,5.0,156.87,NQC900E9001064A,9X9,SLP,,120.0,Full Cut,0,0
FR0158,5.0,141.47,NQC900E900B064A,9X9,QFN,0,120.0,,3,3
FR0158,5.0,141.47,TQ-900E900B064A,9X9,QFN,0,120.0,,3,3
FR0158,5.0,141.47,TQ-900E900B064K,9X9,QFN,0,120.0,,3,3
