FRAME_STOCK,SPEED (IPS),TIME/STRIP,PACKAGE_CODE,Package size ,Package group,Lead frame,Unit/strip,Strip/lot,Process
F30044,5.0,290.59,XHC16E114006AAJ,1.6X1.4,GQFN,,3300.0,30.0,
F30044,5.0,290.59,XHC16E114006AAN,1.6X1.4,GQFN,,3300.0,20.0,
F70022,5.0,232.75,TQ-258E258B014C,2.58X2.58,QFN,CU,1575.0,40.0,
F70022,5.0,232.75,TQ-258E258B014N,2.58X2.58,QFN,CU,1575.0,40.0,
F70023,4.0,314.11,EQ-300E400Z021F,3X4,QFN,PPF,910.0,20.0,
F70023,4.0,314.11,EQ-300E400Z021M,3X4,QFN,PPF,910.0,40.0,
F70023,4.0,314.11,EQ-300E400Z021W,3X4,QFN,PPF,910.0,20.0,
F70029,3.0,248.98,EQ-300E400Z021M,3X4,QFN,PPF,910.0,40.0,
F70034,3.0,498.65,EQ-200E300B014M,3X2,QFN,PPF,1710.0,40.0,
FA0133,3.0,168.86,NH-50E150024SAJ,5X5,GQFN,,440.0,60.0,
FA0133,3.0,168.86,NH-50E150024SAN,5X5,GQFN,,440.0,60.0,
FA0133,3.0,168.86,NHC50E150024SAN,5X5,GQFN,,440.0,40.0,
FA0142,3.0,232.65,MH-40E140015DAJ,4X4,GQFN,,700.0,30.0,
FA0142,3.0,232.65,MH-40E140015DAN,4X4,GQFN,,700.0,30.0,
FA0142,3.0,232.65,MH-40E140020DAN,4X4,GQFN,,640.0,40.0,
FA0180,3.0,150.73,HH-90E190064TAN,9X9,GQFN,,120.0,30.0,
FA0180,3.0,150.73,HH-90S290064TAJ,9X9,GQFN,,120.0,40.0,
FA0180,3.0,150.73,HH-90S290064TAN,9X9,GQFN,,120.0,40.0,
FA0180,3.0,150.73,HH-90S290064TIN,9X9,GQFN,,120.0,30.0,
FA0180,3.0,150.73,MH-90S290064BIN,9X9,GQFN,,120.0,30.0,
FA0212,3.0,161.69,HHC50M260016TAJ,5X6,GQFN,,315.0,40.0,
FA0212,3.0,161.69,HHC50M260016TAN,5X6,GQFN,,315.0,40.0,
FN0059,3.0,274.1,UQ-170X200A012D,2X1.7,QFN,PPF,1596.0,30.0,
FN0059,3.0,274.1,UQ-170X200A012P,2X1.7,QFN,PPF,1596.0,12.0,
FN0115,3.0,207.8,UQ-180E320A020P,1.8X3.2,QFN,PPF,1700.0,12.0,
FN0115,3.0,207.8,UQ-180X320A020D,3.2X1.8,QFN,PPF,936.0,24.0,
FN0115,3.0,207.8,UQ-180X320A020P,3.2X1.8,QFN,PPF,936.0,24.0,
FR0022,5.0,270.93,NQ-300E3001016A,3X3,SLP,Cu,1170.0,30.0,Full Cut
FR0022,5.0,271.02,NQ-300E300B016A,3X3,QFN,CU,1170.0,30.0,
FR0022,5.0,271.02,NQ-300E300B016K,3X3,QFN,CU,1170.0,30.0,
FR0022,5.0,270.93,NQC300E3001016A,3X3,SLP,Cu,1170.0,30.0,Full Cut
FR0022,5.0,271.02,NQC300E300B016A,3X3,QFN,CU,1170.0,30.0,
FR0022,5.0,271.02,NQC300E300B016K,3X3,QFN,CU,1170.0,30.0,
FR0022,5.0,271.02,TQ-300E300B016A,3X3,QFN,CU,1170.0,30.0,
FR0022,5.0,271.02,TQC300E300B016A,3X3,QFN,CU,1170.0,30.0,
FR0035,5.0,181.3,NQ-600E600A048A,6X6,QFN,CU,315.0,40.0,
FR0035,5.0,181.3,NQ-600E600A048K,6X6,QFN,CU,315.0,40.0,
FR0035,5.0,181.3,NQ-600S600A048A,6X6,QFN,CU,315.0,40.0,
FR0035,5.0,181.3,TQ-600E600A048A,6X6,QFN,CU,315.0,40.0,
FR0044,5.0,178.22,NQ-500E5001032A,5X5,SLP,Cu,440.0,40.0,Full Cut
FR0044,5.0,188.33,NQ-500E500B032A,5X5,QFN,CU,440.0,40.0,
FR0044,5.0,188.33,NQ-500E500B032K,5X5,QFN,CU,440.0,40.0,
FR0044,5.0,164.22,NQ-500E500X032A,5X5,SFS,,440.0,40.0,
FR0044,5.0,164.22,NQ-500E500X032K,5X5,SFS,,440.0,40.0,
FR0044,5.0,188.33,NQ-500M500B032A,5X5,QFN,CU,440.0,40.0,
FR0044,5.0,188.33,NQC500E500B032A,5X5,QFN,CU,440.0,40.0,
FR0044,5.0,188.33,NQC500E500B032K,5X5,QFN,CU,440.0,40.0,
FR0044,5.0,188.33,TQ-500E500B032A,5X5,QFN,CU,440.0,40.0,
FR0044,5.0,188.33,TQ-500E500B032E,5X5,QFN,CU,440.0,40.0,
FR0044,5.0,188.33,TQ-500M500B032A,5X5,QFN,CU,440.0,40.0,
FR0044,5.0,188.33,TQ-500S500B032A,5X5,QFN,CU,440.0,40.0,
FR0044,5.0,188.33,TQC500E500B032A,5X5,QFN,CU,440.0,40.0,
FR0044,5.0,188.33,TQC500E500B032E,5X5,QFN,CU,440.0,40.0,
FR0044,5.0,188.33,TQC500E500B032K,5X5,QFN,CU,440.0,40.0,
FR0110,5.0,155.64,NQ-800E800B052A,8X8,QFN,CU,175.0,40.0,
FR0110,5.0,155.64,NQ-800E800B052K,8X8,QFN,CU,175.0,40.0,
FR0110,5.0,155.64,NQC800E800B052A,8X8,QFN,CU,175.0,40.0,
FR0147,5.0,150.32,NQ-700E700B048A,7X7,QFN,CU,240.0,40.0,
FR0147,5.0,150.32,NQ-700M700B048A,7X7,QFN,CU,240.0,40.0,
FR0147,5.0,150.32,NQC700E700B048K,7X7,QFN,CU,240.0,40.0,
FR0147,5.0,150.32,TQ-700E700B048A,7X7,QFN,CU,240.0,40.0,
FR0147,5.0,150.32,TQC700E700B048A,7X7,QFN,CU,240.0,40.0,
FR0153,5.0,150.32,NQ-700E700B048A,7X7,QFN,CU,240.0,40.0,
FR0153,5.0,150.32,NQ-700S700B048A,7X7,QFN,CU,240.0,40.0,
FR0153,5.0,150.32,NQC700E700B048A,7X7,QFN,CU,240.0,40.0,
FR0153,5.0,150.32,NQC700E700B048K,7X7,QFN,CU,240.0,40.0,
FR0158,5.0,137.52,NQ-900E900B064A,9X9,QFN,CU,120.0,40.0,
FR0158,5.0,137.52,NQ-900E900B064E,9X9,QFN,CU,120.0,40.0,
FR0158,5.0,155.99,NQC900E9001064A,9X9,SLP,Cu,120.0,40.0,Full Cut
FR0158,5.0,137.52,NQC900E900B064A,9X9,QFN,CU,120.0,40.0,
FR0158,5.0,137.52,TQ-900E900B064A,9X9,QFN,CU,120.0,40.0,
FR0158,5.0,137.52,TQ-900E900B064K,9X9,QFN,CU,120.0,40.0,
FR0158,5.0,137.52,TQ-900M900B064A,9X9,QFN,CU,120.0,40.0,
FR0158,5.0,137.52,TQC900M900B064K,9X9,QFN,CU,120.0,40.0,
FR0250,5.0,170.73,NQ-700E7001056A,7X7,SLP,Cu,240.0,40.0,Full Cut
FR0250,5.0,150.32,NQ-700E700A056A,7X7,QFN,CU,240.0,40.0,
FR0250,5.0,170.73,NQC700E7001056A,7X7,SLP,Cu,240.0,40.0,Full Cut
FR0250,5.0,150.32,NQC700E700A056A,7X7,QFN,CU,240.0,40.0,
FR0250,5.0,150.32,NQC700E700A056K,7X7,QFN,CU,240.0,40.0,
FR0250,5.0,150.32,TQ-700E700A056A,7X7,QFN,CU,240.0,40.0,
FR0306,5.0,225.16,NQ-400E400B024A,4X4,QFN,CU,700.0,40.0,
FR0306,5.0,225.16,NQ-400M400B024A,4X4,QFN,CU,700.0,40.0,
FR0306,5.0,225.16,NQ-400M400B024K,4X4,QFN,CU,700.0,40.0,
FR0306,5.0,225.16,NQ-400S400B024A,4X4,QFN,CU,700.0,40.0,
FR0306,5.0,225.16,NQC400E400B024A,4X4,QFN,CU,700.0,40.0,
FR0306,5.0,225.16,TQ-400E400B024A,4X4,QFN,CU,700.0,40.0,
FR0306,5.0,225.16,TQC400E400B024A,4X4,QFN,CU,700.0,40.0,
FR0306,5.0,225.16,TQC400E400B024K,4X4,QFN,CU,700.0,40.0,
FR0309,5.0,181.3,NQ-600E600B040A,6X6,QFN,CU,315.0,40.0,
FR0309,5.0,181.3,NQ-600E600B040K,6X6,QFN,CU,315.0,40.0,
FR0345,3.0,443.96,ND-200E300B008P,3X2,QFN,PPF,1690.0,30.0,
FR0345,3.0,443.96,TD-200E300B008A,3X2,QFN,Cu,1690.0,20.0,
FR0345,3.0,443.96,TD-200E300B008D,3X2,QFN,PPF,1690.0,20.0,
FR0345,3.0,443.96,TD-200E300B008P,3X2,QFN,PPF,1690.0,20.0,
FR0345,3.0,443.96,TD-200S300B008D,3X2,QFN,PPF,1690.0,20.0,
FR0345,3.0,443.96,TD-200S300B008P,3X2,QFN,PPF,1690.0,20.0,
FR0366,5.0,340.14,ND-200E200B008A,2X2,QFN,CU,2470.0,20.0,
FR0366,5.0,340.14,ND-200E200B008K,2X2,QFN,CU,2470.0,20.0,
FR0366,5.0,340.14,ND-200M200B008A,2X2,QFN,CU,2470.0,24.0,
FR0366,5.0,340.14,NDC200E200B008A,2X2,QFN,CU,2470.0,20.0,
FR0366,5.0,340.14,NDC200E200B008K,2X2,QFN,CU,2470.0,20.0,
FR0366,5.0,340.14,TDC200E200B008A,2X2,QFN,CU,2470.0,20.0,
FR0370,5.0,169.63,NQ-400E500B028A,5X4,QFN,CU,550.0,40.0,
FR0370,5.0,169.63,TQ-400E500B028A,5X4,QFN,CU,550.0,40.0,
FR0370,5.0,169.63,TQ-400E500B028K,4X5,QFN,CU,550.0,40.0,
FR0370,5.0,169.63,TQ-400S500B028A,5X4,QFN,CU,550.0,40.0,
FR0370,5.0,169.63,TQC400E500B028K,4X5,QFN,CU,550.0,40.0,
FR0383,5.0,137.52,TQ-900E900B064A,9X9,QFN,CU,120.0,40.0,
FR0383,5.0,137.52,TQ-900E900B064K,9X9,QFN,CU,120.0,40.0,
FR0383,5.0,137.52,TQ-900M900B064A,9X9,QFN,CU,120.0,40.0,
FR0383,5.0,137.52,TQ-900M900B064K,9X9,QFN,CU,120.0,40.0,
FR0437,5.0,201.15,TQ-500E700B038A,7X5,QFN,CU,320.0,40.0,
FR0437,5.0,201.15,TQ-500E700B038K,5X7,QFN,CU,320.0,40.0,
FR0437,5.0,201.15,TQ-500M700B038A,7X5,QFN,CU,320.0,40.0,
FR0437,5.0,201.15,TQC500E700B038A,7X5,QFN,CU,320.0,40.0,
FR0437,5.0,201.15,TQC500E700B038K,7X5,QFN,CU,320.0,40.0,
FR0445,5.0,181.3,NQ-600E600A048A,6X6,QFN,CU,315.0,40.0,
FR0445,5.0,181.3,NQ-600M600A048A,6X6,QFN,CU,315.0,40.0,
FR0445,5.0,181.3,NQC600E600A048A,6X6,QFN,CU,315.0,40.0,
FR0445,5.0,181.3,NQC600S600A048A,6X6,QFN,CU,315.0,40.0,
FR0445,5.0,181.3,NQC600S600A048K,6X6,QFN,CU,315.0,40.0,
FR0445,5.0,181.3,TQ-600E600A048A,6X6,QFN,CU,315.0,40.0,
FR0445,5.0,181.3,TQ-600S600A048A,6X6,QFN,CU,315.0,40.0,
FR0450,5.0,137.52,NQ-900E900B064A,9X9,QFN,CU,120.0,40.0,
FR0453,3.0,351.65,TD-250S200Z004D,2.5X2.2,QFN,PPF,1995.0,20.0,
FR0453,3.0,351.65,TD-250S200Z004P,2X2.5,QFN,PPF,1995.0,20.0,
FR0475,3.0,150.39,NQ-750E750A064P,7.5X7.5,QFN,PPF,175.0,40.0,
FR0475,3.0,150.39,TQ-750E750A064P,7.5X7.5,QFN,PPF,175.0,40.0,
FR0483,3.0,502.22,ND-150E150B006P,1.5X1.5,QFN,PPF,4080.0,20.0,
FR0483,3.0,502.22,TD-150E150B006P,1.5X1.5,QFN,PPF,4080.0,12.0,
FR0497,3.0,367.13,NQ-350E350Z015F,3.5X3.5,QFN,PPF,880.0,20.0,
FR0497,3.0,367.13,NQ-350E350Z015M,3.5X3.5,QFN,PPF,880.0,20.0,
FR0506,3.0,260.0,MQ-400E400A032A,4X4,QFN,Cu,700.0,30.0,
FR0506,3.0,260.0,MQ-400S400A032A,4X4,QFN,Cu,700.0,40.0,
FR0506,3.0,260.0,NQ-400E400A032A,4X4,QFN,Cu,700.0,40.0,
FR0506,3.0,260.0,NQC400E400A032A,4X4,QFN,Cu,700.0,40.0,
FR0506,3.0,260.0,NQC400E400A032K,4X4,QFN,Cu,700.0,40.0,
FR0506,3.0,260.0,TQ-400E400A032A,4X4,QFN,Cu,700.0,40.0,
FR0517,5.0,242.1,NQ-400E750B036A,7.5X4,QFN,CU,350.0,40.0,
FR0518,3.0,304.71,TD-200E200B008D,2X2,QFN,PPF,2470.0,20.0,
FR0518,3.0,304.71,TD-200E200B008P,2X2,QFN,PPF,2470.0,20.0,
FR0520,3.0,269.63,TQ-300E300B016D,3X3,QFN,PPF,1824.0,30.0,
FR0520,3.0,282.07,TQ-300E300B016P,3X3,QFN,PPF,1170.0,30.0,
FR0532,5.0,137.52,MQ-900E900B064A,9X9,QFN,CU,120.0,40.0,
FR0532,5.0,137.52,NQ-900E900B064A,9X9,QFN,CU,120.0,40.0,
FR0532,5.0,137.52,NQ-900E900B064K,9X9,QFN,CU,120.0,40.0,
FR0574,3.0,177.28,ND-500E600G008D,6X5,QFN,PPF,385.0,40.0,
FR0574,3.0,177.28,ND-500E600G008P,6X5,QFN,PPF,385.0,40.0,
FR0598,5.0,181.12,NDC600E800G008A,8X6,QFN,CU,225.0,40.0,
FR0598,5.0,181.12,TD-600E800G008A,8X6,QFN,CU,225.0,40.0,
FR0598,5.0,181.12,TDC600E800G008A,8X6,QFN,CU,225.0,40.0,
FR0598,5.0,181.12,TDC600E800G008K,8X6,QFN,CU,225.0,40.0,
FR0624,3.0,167.95,NQ-800E800B056D,8X8,QFN,PPF,175.0,40.0,
FR0624,3.0,167.95,NQ-800E800B056P,8X8,QFN,PPF,175.0,40.0,
FR0624,3.0,167.95,NQC800E800B056P,8X8,QFN,PPF,175.0,60.0,
FR0624,3.0,167.95,TQ-800E800B056P,8X8,QFN,PPF,175.0,40.0,
FR0643,5.0,178.22,NQ-500E5001032A,5X5,SLP,Cu,440.0,40.0,Full Cut
FR0643,5.0,188.33,NQ-500E500B032A,5X5,QFN,CU,440.0,40.0,
FR0643,5.0,188.33,NQ-500E500B032K,5X5,QFN,CU,440.0,40.0,
FR0643,5.0,188.33,NQ-500E500B032U,5X5,QFN,CU,440.0,40.0,
FR0643,5.0,188.33,NQ-500S500B032A,5X5,QFN,CU,440.0,40.0,
FR0643,5.0,167.93,NQ-500S500X032A,5X5,SFS,,440.0,40.0,
FR0643,5.0,178.22,NQC500E5001032A,5X5,SLP,Cu,440.0,40.0,Full Cut
FR0643,5.0,188.33,NQC500E500B032A,5X5,QFN,CU,440.0,40.0,
FR0643,5.0,188.33,NQC500E500B032K,5X5,QFN,CU,440.0,40.0,
FR0643,5.0,188.33,NQC500E500B032U,5X5,QFN,CU,440.0,40.0,
FR0643,5.0,188.33,TQ-500E500B032A,5X5,QFN,CU,440.0,40.0,
FR0643,5.0,167.93,TQ-500E500X032A,5X5,SFS,,440.0,40.0,
FR0643,5.0,188.33,TQ-500M500B032A,5X5,QFN,CU,440.0,40.0,
FR0643,5.0,188.33,TQC500E500B032A,5X5,QFN,CU,440.0,40.0,
FR0643,5.0,188.33,TQC500E500B032K,5X5,QFN,CU,440.0,40.0,
FR0695,3.0,331.12,ND-280E160D004A,1.6X2.8,QFN,Cu,2300.0,20.0,
FR0695,3.0,331.12,ND-280E160D004K,1.6X2.8,QFN,Cu,2300.0,20.0,
FR0695,3.0,331.12,ND-280Z160D004A,1.6X2.8,QFN,Cu,2300.0,20.0,
FR0695,3.0,331.12,NDC280E160D004K,1.6X2.8,QFN,Cu,2300.0,20.0,
FR0695,3.0,331.12,NDE280E160D004A,1.6X2.8,QFN,Cu,2300.0,12.0,
FR0695,3.0,331.12,NDE280E160D004K,1.6X2.8,QFN,Cu,2300.0,12.0,
FR0695,3.0,331.12,NDF280E160D004A,1.6X2.8,QFN,Cu,2300.0,16.0,
FR0695,3.0,331.12,NDF280E160D004K,1.6X2.8,QFN,Cu,2300.0,20.0,
FR0695,3.0,331.12,NDG280E160D004K,1.6X2.8,QFN,Cu,2300.0,20.0,
FR0736,3.0,149.92,MQC900S900B064D,9X9,QFN,PPF,120.0,30.0,
FR0736,3.0,149.92,NQ-900E900B064D,9X9,QFN,PPF,120.0,40.0,
FR0736,3.0,149.92,NQ-900E900B064P,9X9,QFN,PPF,120.0,40.0,
FR0736,3.0,149.92,NQC900E900B064D,9X9,QFN,PPF,120.0,40.0,
FR0736,3.0,149.92,NQC900E900B064P,9X9,QFN,PPF,120.0,40.0,
FR0736,3.0,149.92,TQC900E900B064P,9X9,QFN,PPF,120.0,40.0,
FR0737,3.0,304.71,TD-200E200C006D,2X2,QFN,PPF,2470.0,20.0,
FR0737,3.0,304.71,TD-200E200C006P,2X2,QFN,PPF,2470.0,20.0,
FR0737,3.0,304.71,TDC200E200C006D,2X2,QFN,PPF,2470.0,20.0,
FR0737,3.0,304.71,TDC200E200C006P,2X2,QFN,PPF,2470.0,20.0,
FR0738,3.0,167.01,NQ-700E700B048D,7X7,QFN,PPF,240.0,40.0,
FR0738,3.0,167.01,NQ-700E700B048P,7X7,QFN,PPF,240.0,40.0,
FR0738,3.0,167.01,NQ-700M700B048D,7X7,QFN,PPF,240.0,40.0,
FR0738,3.0,167.01,NQ-700M700B048P,7X7,QFN,PPF,240.0,40.0,
FR0738,3.0,167.01,NQC700E700B048B,7X7,QFN,PPF,240.0,40.0,
FR0738,3.0,167.01,NQC700E700B048D,7X7,QFN,PPF,240.0,40.0,
FR0738,3.0,167.01,NQC700E700B048P,7X7,QFN,PPF,240.0,40.0,
FR0738,3.0,167.01,TQC700E700B048P,7X7,QFN,PPF,240.0,40.0,
FR0752,1.0,458.35,TD-200E200M008A,2X2,QFN,Cu,2470.0,20.0,
FR0752,1.0,458.35,TD-200E200M008K,2X2,QFN,Cu,2470.0,20.0,
FR0752,1.0,458.35,TD-200E200M008P,2X2,QFN,PPF,2470.0,20.0,
FR0773,5.0,233.0,ND-400E3001012A,3X4,SLP,Cu,910.0,40.0,Full Cut
FR0773,5.0,233.0,ND-400E300B012A,3X4,QFN,CU,910.0,40.0,
FR0773,5.0,233.0,NDC400E3001012A,3X4,SLP,Cu,910.0,40.0,Full Cut
FR0773,5.0,233.0,NDC400E3001012K,3X4,SLP,Cu,910.0,40.0,Full Cut
FR0773,5.0,233.0,NDC400E300B012A,3X4,QFN,CU,910.0,40.0,
FR0773,5.0,233.0,NDC400E300B012K,3X4,QFN,CU,910.0,40.0,
FR0784,3.0,282.07,MQ-300S300B016P,3X3,QFN,PPF,1170.0,30.0,
FR0784,3.0,282.07,MQC300S300B016P,3X3,QFN,PPF,1170.0,30.0,
FR0784,3.0,282.07,NQ-300E300B016D,3X3,QFN,PPF,1170.0,30.0,
FR0784,3.0,282.07,NQ-300E300B016P,3X3,QFN,PPF,1170.0,30.0,
FR0784,3.0,282.07,NQC300E300B016D,3X3,QFN,PPF,1170.0,30.0,
FR0784,3.0,282.07,NQC300E300B016P,3X3,QFN,PPF,1170.0,30.0,
FR0784,3.0,255.39,TQ-300E300B016D,3X3,QFN,PPF,1824.0,30.0,
FR0784,3.0,282.07,TQ-300E300B016P,3X3,QFN,PPF,1170.0,30.0,
FR0784,3.0,282.07,TQC300E300B016D,3X3,QFN,PPF,1170.0,30.0,
FR0784,3.0,282.07,TQC300E300B016P,3X3,QFN,PPF,1170.0,30.0,
FR0785,5.0,211.57,MQ-400E4001024A,4X4,SLP,Cu,700.0,40.0,Full Cut
FR0785,5.0,211.57,MQ-400E4001024K,4X4,SLP,Cu,700.0,40.0,Full Cut
FR0785,5.0,211.57,NQ-400E4001024A,4X4,SLP,Cu,700.0,40.0,Full Cut
FR0785,5.0,211.57,NQ-400E4001024K,4X4,SLP,Cu,700.0,40.0,Full Cut
FR0785,5.0,225.16,NQ-400E400B024A,4X4,QFN,CU,700.0,40.0,
FR0785,5.0,218.11,NQ-400E400X024A,4X4,SFS,,700.0,40.0,
FR0785,5.0,218.11,NQ-400E400X024K,4X4,SFS,,700.0,40.0,
FR0785,5.0,211.57,NQC400E4001024A,4X4,SLP,Cu,700.0,40.0,Full Cut
FR0806,5.0,137.52,NQ-900E900B064A,9X9,QFN,CU,120.0,40.0,
FR0806,5.0,137.52,NQ-900E900B064K,9X9,QFN,CU,120.0,40.0,
FR0806,5.0,137.52,NQC900E900B064A,9X9,QFN,CU,120.0,40.0,
FR0806,5.0,137.52,NQC900E900B064K,9X9,QFN,CU,120.0,40.0,
FR0814,5.0,340.14,TD-200E200B008C,2X2,QFN,CU,2470.0,40.0,
FR0860,5.0,188.33,NQ-500E500B032A,5X5,QFN,CU,440.0,40.0,
FR0860,5.0,188.33,TQ-500E500B032A,5X5,QFN,CU,440.0,40.0,
FR0860,5.0,219.45,TQ-500E500X032A,5X5,SFS,,440.0,40.0,
FR0888,3.0,210.77,NQ-500E500B032D,5X5,QFN,PPF,440.0,40.0,
FR0888,3.0,210.77,NQ-500E500B032P,5X5,QFN,PPF,440.0,40.0,
FR0888,3.0,210.77,NQC500E500B032D,5X5,QFN,PPF,440.0,40.0,
FR0888,3.0,210.77,NQC500E500B032P,5X5,QFN,PPF,440.0,40.0,
FR0898,3.0,210.77,NQ-500E500B028D,5X5,QFN,PPF,440.0,40.0,
FR0898,3.0,210.77,NQ-500E500B028P,5X5,QFN,PPF,440.0,40.0,
FR0898,3.0,210.77,NQC500E500B028P,5X5,QFN,PPF,440.0,40.0,
FR0928,3.0,210.77,NQC500E500A040D,5X5,QFN,PPF,440.0,40.0,
FR0928,3.0,210.77,NQC500E500A040P,5X5,QFN,PPF,440.0,40.0,
FR0928,3.0,210.77,TQ-500E500A040D,5X5,QFN,PPF,440.0,40.0,
FR0928,3.0,210.77,TQ-500E500A040P,5X5,QFN,PPF,440.0,40.0,
FR0928,3.0,210.77,TQC500E500A040P,5X5,QFN,PPF,440.0,40.0,
FR0928,3.0,210.77,TQW500E500A040P,5X5,QFN,PPF,440.0,40.0,
FR0929,3.0,171.86,MQ-600M600B040B,6X6,QFN,PPF,315.0,40.0,
FR0929,3.0,171.86,NQ-600E600B040D,6X6,QFN,PPF,315.0,40.0,
FR0929,3.0,171.86,NQ-600E600B040P,6X6,QFN,PPF,315.0,40.0,
FR0929,3.0,171.86,NQC600E600B040D,6X6,QFN,PPF,315.0,40.0,
FR0929,3.0,171.86,NQC600E600B040P,6X6,QFN,PPF,315.0,40.0,
FR0929,3.0,171.86,NQW600E600B040D,6X6,QFN,PPF,315.0,40.0,
FR0929,3.0,171.86,NQW600E600B040P,6X6,QFN,PPF,315.0,40.0,
FR0930,3.0,149.92,NQ-900E900B064D,9X9,QFN,PPF,120.0,40.0,
FR0930,3.0,149.92,NQ-900E900B064P,9X9,QFN,PPF,120.0,40.0,
FR0930,3.0,149.92,NQ-900S900B064P,9X9,QFN,PPF,120.0,40.0,
FR0930,3.0,149.92,NQC900E900B064D,9X9,QFN,PPF,120.0,40.0,
FR0930,3.0,149.92,NQC900E900B064P,9X9,QFN,PPF,120.0,40.0,
FR0930,3.0,149.92,NQW900E900B064D,9X9,QFN,PPF,120.0,40.0,
FR0930,3.0,149.92,NQW900E900B064P,9X9,QFN,PPF,120.0,40.0,
FR0958,3.0,239.68,NQ-400E400B020D,4X4,QFN,PPF,700.0,40.0,
FR0958,3.0,239.68,NQ-400E400B020P,4X4,QFN,PPF,700.0,40.0,
FR0958,3.0,239.68,NQC400E400B020D,4X4,QFN,PPF,700.0,30.0,
FR0969,5.0,150.32,MQC700E700B048A,7X7,QFN,CU,240.0,40.0,
FR0969,5.0,150.32,NQ-700E700B048A,7X7,QFN,CU,240.0,40.0,
FR0969,5.0,150.32,NQ-700E700B048K,7X7,QFN,CU,240.0,40.0,
FR0969,5.0,150.32,NQC700E700B048A,7X7,QFN,CU,240.0,40.0,
FR0969,5.0,150.32,NQC700E700B048K,7X7,QFN,CU,240.0,40.0,
FR0969,5.0,170.73,TQ-700E7001048A,7X7,SLP,Cu,240.0,40.0,Full Cut
FR0969,5.0,150.32,TQ-700E700B048A,7X7,QFN,CU,240.0,40.0,
FR0969,5.0,150.32,TQ-700E700B048K,7X7,QFN,CU,240.0,40.0,
FR0969,5.0,150.32,TQC700E700B048K,7X7,QFN,CU,240.0,40.0,
FR0986,3.0,177.41,MQD415E600Z015C,6X4.15,QFN,Cu,405.0,40.0,
FR0986,3.0,177.41,MQD415E600Z015N,6X4.15,QFN,Cu,405.0,40.0,
FR0987,3.0,125.56,MQ-A00EA00B072D,10X10,QFN,PPF,120.0,40.0,
FR0987,3.0,125.56,MQ-A00EA00B072P,10X10,QFN,PPF,120.0,40.0,
