FRAME_STOCK,SPEED (IPS),TIME/STRIP,PACKAGE_CODE,Package size ,Package group,Frame type ,Unit/strip,Process,Before_Outlier,After_Outlier
F30043,1.0,257.89,MHC90M290064E1J,9X9,GQFN,,120.0,,,
F30044,5.0,368.92,XHC16E114006AAJ,1.6X1.4,GQFN,,3300.0,,,
F30045,1.0,282.33,MHC90M290064E1J,9X9,GQFN,,120.0,,,
F30047,3.0,224.79,HHC40E150018TAJ,4X5,GQFN,,495.0,,,
F30055,3.0,153.75,HHG90M390035TAJ,9X9,GQFN,,120.0,,,
F30056,2.0,226.74,HHC50E260016TAJ,5X6,GQFN,,315.0,,,
F3045F,5.0,124.14,,,NAN,,,,,
F69086,3.0,442.43,GS-30N140024CAN,3X4,MIS,,1088.0,,,
F70022,5.0,214.46,TQ-258E258B014C,2.58X2.58,QFN,Copper ,1575.0,,1.0,1.0
F70023,3.0,348.73,EQ-300E400Z021F,3X4,QFN,Full PPF,910.0,,1.0,1.0
F70025,5.0,195.95,EQC500E500B032U,5X5,QFN,Copper ,440.0,,14.0,14.0
F70026,5.0,325.53,EQ-200E200B012C,2X2,QFN,Copper ,2470.0,,2.0,2.0
F70034,3.0,451.18,EQ-200E300B014M,3X2,QFN,Full PPF,1710.0,,1.0,1.0
F76009,5.0,458.57,EQ-350E3751017W,3.5X3.75,SLP,,770.0,Full Cut,,
F7A009,5.0,195.95,KQC500S500Z023A,5X5,QFN,Copper ,440.0,,14.0,14.0
F7A014,5.0,176.62,TQ-350E4501024N,3.5X4.5,SLP,,660.0,Full Cut,,
F7A015,3.0,228.18,ED-300E3001010K,3X3,SLP,Full PPF,1170.0,Step Cut,8.0,8.0
FA0043,3.0,407.14,XH-20E124018AAJ,2.4X2,GQFN,,1760.0,,,
FA0133,2.0,289.0,NH-50E150024SAJ,5X5,GQFN,,440.0,,,
FA0147,3.0,342.85,EH-26E124008BAJ,2.4X2.6,GQFN,,1500.0,,,
FA0152,3.0,247.4,MHC40E140024DAJ,4X4,GQFN,,700.0,,,
FA0160,5.0,251.89,EH-22F130024BAJ,2.2X3,GQFN,,1350.0,,,
FA0170,5.0,188.12,NHC60E160080SAJ,6X6,GQFN,,270.0,,,
FA0215,5.0,140.26,NH-60E160071SAJ,6X6,GQFN,,271.0,,,
FA0221,3.0,183.83,NH-70E170048SAJ,7X7,GQFN,,200.0,,,
FJ0050,5.0,197.0,AG-25B2200049AR,2X2.5,LGA,,2268.0,,,
FJ9004,5.0,320.22,BG-30B2250149AR,2.5X3,LGA,Copper ,1705.0,,1.0,1.0
FJ9005,5.0,377.83,BG-30B2250149AR,2.5X3,LGA,,1705.0,,,
FJA032,3.0,283.9,HGFE0G5A0108SAR,10X14,LGA,,88.0,,,
FJA034,3.0,188.24,HGFE0G5A0110SAR,10X14,LGA,,88.0,,,
FJA035,3.0,213.36,HGFE0G4A0123SAR,10X14,LGA,,88.0,,,
FN0059,3.0,227.3,UQ-170X200A012D,2X1.7,QFN,Full PPF,1596.0,,1.0,1.0
FN0115,3.0,258.26,UQ-180E320A020P,1.8X3.2,QFN,Full PPF,1700.0,,1.0,1.0
FR0005,5.0,230.31,TQ-400E400B024A,4X4,QFN,Copper ,700.0,,13.0,13.0
FR0011,5.0,194.55,NQ-600E600B040A,6X6,QFN,Copper ,315.0,,7.0,7.0
FR0022,3.0,228.18,NQ-300E3001016A,3X3,SLP,Full PPF,1170.0,Step Cut,8.0,8.0
FR0040,5.0,355.65,ND-300E300B010A,3X3,QFN,Copper ,1170.0,,6.0,6.0
FR0043,5.0,230.31,NQ-400E400A028A,4X4,QFN,Copper ,700.0,,13.0,13.0
FR0044,5.0,193.68,NQ-500E5001032A,5X5,SLP,Copper ,440.0,Full Cut,5.0,5.0
FR0048,5.0,194.55,NQ-600E600B040A,6X6,QFN,Copper ,315.0,,7.0,7.0
FR0060,5.0,195.95,NQ-500E500B028A,5X5,QFN,Copper ,440.0,Full Cut,14.0,14.0
FR0068,3.0,177.65,NQ-700E7001032A,7X7,SLP,Full PPF,240.0,Step Cut,5.0,5.0
FR0099,2.0,184.46,TQTA00DA00B068P,10X10,QFN,Full PPF,120.0,,1.0,1.0
FR0123,5.0,219.33,ND-700E400A032A,4X7,QFN,Copper ,400.0,,1.0,1.0
FR0158,5.0,129.39,NQ-900E900B064A,9X9,QFN,Copper ,120.0,Full Cut,5.0,3.0
FR0159,5.0,129.39,NQ-900E900B064A,9X9,QFN,Copper ,120.0,,5.0,3.0
FR0160,5.0,129.39,NQ-900E900B064A,9X9,QFN,Copper ,120.0,,5.0,3.0
FR0211,3.0,165.73,MQ-800M800B056P,8X8,QFN,Full PPF,175.0,,3.0,3.0
FR0221,5.0,171.33,ND-500E600G008A,6X5,QFN,Copper ,385.0,,3.0,3.0
