FRAME_STOCK,SPEED,TIME/STRIP,PACKAGE_CODE
F30027,3.0,199.98,MH-45F140033EAN
F30027,3.0,199.98,MHC45F140033EAN
F30027,3.0,199.98,MHY45M240033EAJ
F30027,3.0,199.98,MHY45M240033EAN
F30027,3.0,199.98,MHZ45M240033EAN
F30044,5.0,286.24,XHC16E114006AAJ
F30044,5.0,286.24,XHC16E114006AAN
F30056,5.0,170.21,HHC50E260016TAJ
F30056,5.0,170.21,HHC50M260016TAJ
F40026,3.0,294.06,PQ-300E300B016P
F70022,5.0,253.56,TQ-258E258B014C
F70022,5.0,253.56,TQ-258E258B014N
F70023,4.0,263.09,EQ-300E400Z021F
F70023,4.0,263.09,EQ-300E400Z021M
F70023,4.0,263.09,EQ-300E400Z021W
F70025,5.0,176.34,EQC500E500B032U
F70029,3.0,233.98,EQ-300E400Z021M
F70029,4.0,222.05,EQ-300E400Z021M
F70034,3.0,242.88,EQ-200E300B014M
F76001,3.0,222.64,EQ-350E3501022C
F76001,3.0,222.64,EQ-350E3501022N
F76005,2.0,265.44,EQ-500E5001032U
F76005,2.0,265.44,EQC500E500B032U
FA0028,5.0,174.13,EHC90E190100BAN
FA0028,5.0,174.13,MH-90E190100DAN
FA0028,5.0,174.13,MHC90E190100DAJ
FA0028,5.0,174.13,MHC90E190100DAN
FA0028,9.0,132.7,EHC90E190100BAN
FA0028,9.0,132.7,MH-90E190100DAN
FA0028,9.0,132.7,MHC90E190100DAJ
FA0028,9.0,132.7,MHC90E190100DAN
FA0034,5.0,495.76,EH-20E120014BAN
FA0043,3.0,622.84,XH-20E124018AAJ
FA0043,3.0,622.84,XH-20E124018AAN
FA0095,3.0,134.33,MH-50E150032BAN
FA0095,3.0,134.33,MHC50E150032DAJ
FA0095,3.0,134.33,MHC50E150032DAN
FA0097,5.0,85.13,XH-20E120024AAJ
FA0097,5.0,85.13,XH-20E120024AAN
FA0097,5.0,85.13,XH-20E120024ABS
